r,n,g,nu_minus,cutoff_gain,r_c
1.1903807615230462,1,1.3,0.4202241624241737,2.0,0.3095196042031118
1.1963927855711423,1,1.3,0.4187872374525834,2.0,0.3095196042031118
1.2024048096192386,1,1.3,0.4173674866773637,2.0,0.3095196042031118
1.2084168336673347,1,1.3,0.4159647048316938,2.0,0.3095196042031118
1.2144288577154307,1,1.3,0.41457868910211143,2.0,0.3095196042031118
1.220440881763527,1,1.3,0.4132092390991908,2.0,0.3095196042031118
1.2264529058116231,1,1.3,0.41185615682857013,2.0,0.3095196042031118
1.2324649298597194,1,1.3,0.4105192466623256,2.0,0.3095196042031118
1.2384769539078155,1,1.3,0.4091983153106881,2.0,0.3095196042031118
1.2444889779559118,1,1.3,0.4078931717940968,2.0,0.3095196042031118
1.250501002004008,1,1.3,0.406603627415588,2.0,0.3095196042031118
1.2565130260521042,1,1.3,0.4053294957335129,2.0,0.3095196042031118
1.2625250501002003,1,1.3,0.4040705925345826,2.0,0.3095196042031118
1.2685370741482966,1,1.3,0.40282673580723405,2.0,0.3095196042031118
1.2745490981963927,1,1.3,0.4015977457153153,2.0,0.3095196042031118
1.280561122244489,1,1.3,0.40038344457208463,2.0,0.3095196042031118
1.2865731462925851,1,1.3,0.39918365681452084,2.0,0.3095196042031118
1.2925851703406814,1,1.3,0.3979982089779403,2.0,0.3095196042031118
1.2985971943887775,1,1.3,0.3968269296709179,2.0,0.3095196042031118
1.3046092184368738,1,1.3,0.3956696495505068,2.0,0.3095196042031118
1.31062124248497,1,1.3,0.39452620129775545,2.0,0.3095196042031118
1.3166332665330662,1,1.3,0.3933964195935161,2.0,0.3095196042031118
1.3226452905811623,1,1.3,0.39228014109454384,2.0,0.3095196042031118
1.3286573146292584,1,1.3,0.3911772044098798,2.0,0.3095196042031118
1.3346693386773547,1,1.3,0.3900874500775176,2.0,0.3095196042031118
1.3406813627254508,1,1.3,0.3890107205413486,2.0,0.3095196042031118
1.346693386773547,1,1.3,0.3879468601283822,2.0,0.3095196042031118
1.3527054108216432,1,1.3,0.38689571502623904,2.0,0.3095196042031118
1.3587174348697395,1,1.3,0.3858571332609125,2.0,0.3095196042031118
1.3647294589178356,1,1.3,0.3848309646747967,2.0,0.3095196042031118
1.370741482965932,1,1.3,0.3838170609049767,2.0,0.3095196042031118
1.376753507014028,1,1.3,0.38281527536177834,2.0,0.3095196042031118
1.3827655310621243,1,1.3,0.38182546320757405,2.0,0.3095196042031118
1.3887775551102204,1,1.3,0.38084748133584284,2.0,0.3095196042031118
1.3947895791583167,1,1.3,0.3798811883504795,2.0,0.3095196042031118
1.4008016032064128,1,1.3,0.37892644454535207,2.0,0.3095196042031118
1.406813627254509,1,1.3,0.3779831118841028,2.0,0.3095196042031118
1.4128256513026052,1,1.3,0.37705105398019123,2.0,0.3095196042031118
1.4188376753507015,1,1.3,0.3761301360771755,2.0,0.3095196042031118
1.4248496993987976,1,1.3,0.375220225029229,2.0,0.3095196042031118
1.4308617234468937,1,1.3,0.3743211892818906,2.0,0.3095196042031118
1.43687374749499,1,1.3,0.3734328988530444,2.0,0.3095196042031118
1.442885771543086,1,1.3,0.372555225314127,2.0,0.3095196042031118
1.4488977955911824,1,1.3,0.37168804177155923,2.0,0.3095196042031118
1.4549098196392785,1,1.3,0.3708312228484003,2.0,0.3095196042031118
1.4609218436873748,1,1.3,0.36998464466622044,2.0,0.3095196042031118
1.4669338677354709,1,1.3,0.36914818482719103,2.0,0.3095196042031118
1.4729458917835672,1,1.3,0.368321722396388,2.0,0.3095196042031118
1.4789579158316633,1,1.3,0.3675051378843075,2.0,0.3095196042031118
1.4849699398797596,1,1.3,0.36669831322958973,2.0,0.3095196042031118
1.4909819639278556,1,1.3,0.36590113178195016,2.0,0.3095196042031118
1.496993987975952,1,1.3,0.36511347828531404,2.0,0.3095196042031118
1.503006012024048,1,1.3,0.3643352388611526,2.0,0.3095196042031118
1.5090180360721444,1,1.3,0.3635663009920189,2.0,0.3095196042031118
1.5150300601202404,1,1.3,0.36280655350528,2.0,0.3095196042031118
1.5210420841683367,1,1.3,0.3620558865570433,2.0,0.3095196042031118
1.5270541082164328,1,1.3,0.36131419161627604,2.0,0.3095196042031118
1.5330661322645291,1,1.3,0.3605813614491133,2.0,0.3095196042031118
1.5390781563126252,1,1.3,0.3598572901033547,2.0,0.3095196042031118
1.5450901803607213,1,1.3,0.35914187289314553,2.0,0.3095196042031118
