r,nu_minus,log_negativity,teleportation_fidelity
0.7023411371237458,0.4724467620817298,0.749830211239301,0.6791417019289787
0.7123745819397993,0.4680862428043972,0.7591027205452958,0.6811588930155492
0.7224080267558528,0.463812353482273,0.7682752191504509,0.6831476709573417
0.7324414715719064,0.4596233730475985,0.7773478791056692,0.6851082398825015
0.7424749163879599,0.45551761462487833,0.7863208920641223,0.6870408093671363
0.7525083612040134,0.45149342485158617,0.7951944691290636,0.6889455941574445
0.7625418060200669,0.44754918321236664,0.8039688406867033,0.6908228138962601
0.7725752508361204,0.4436833013864642,0.8126442562244293,0.6926726928541973
0.782608695652174,0.43989422260811617,0.8212209841346751,0.6944954596655546
0.7926421404682275,0.4361804210396536,0.8296993115047577,0.6962913470691225
0.802675585284281,0.4325404011570563,0.8380795438930342,0.6980605916540326
0.8127090301003345,0.42897269714771435,0.8463620050917434,0.6998034336107606
0.822742474916388,0.42547587232015527,0.8545470368769155,0.7015201164873905
0.8327759197324415,0.42204851852549785,0.8626349987457556,0.7032108869512315
0.842809364548495,0.4186892555903988,0.870626267641925,0.7048759945558636
0.8528428093645485,0.41539673076126665,0.8785212376691527,0.7065156915136812
0.862876254180602,0.41216961815951597,0.8863203197936323,0.7081302324739873
0.8729096989966555,0.40900661824764506,0.8940239415356704,0.7097198743066808
0.8829431438127091,0.4059064573059202,0.9016325466510634,0.7112848758915713
0.8929765886287626,0.40286788691945713,0.9091465948026932,0.712825497913342
0.9030100334448161,0.39988968347549236,0.9165665612228416,0.714342002662174
0.9130434782608696,0.39697064767064183,0.9238929363667322,0.7158346538400325
0.9230769230769231,0.39410960402794976,0.9311262255578122,0.7173037163726128
0.9331103678929766,0.3913054004235312,0.9382669486253019,0.718749456226927
0.9431438127090301,0.38855690762261924,0.945315639534534,0.720172140234514
0.9531772575250836,0.38586301882482943,0.9522728460106161,0.7215720359202386
0.9632107023411371,0.38322264921845844,0.9591391291559472,0.7229494113366456
0.9732441471571907,0.38063473554363736,0.9659150630621262,0.7243045349038253
0.9832775919732442,0.3780982356641637,0.9726012344167834,0.7256376752547381
0.9933110367892977,0.3756121281478398,0.9791982421058709,0.726949101085948
1.0033444816053512,0.37317541185514885,0.9857066968119418,0.728239081013698
1.0133779264214047,0.3707871055361023,0.9921272206089471,0.7295078834352685
1.0234113712374582,0.3684462474350968,0.9984604465540732,0.7307557763955418
1.0334448160535117,0.36615189490362143,1.004707018277139,0.7319830274587055
1.0434782608695652,0.36390312402065916,1.0108675895680634,0.7331899035850092
1.0535117056856187,0.36169902922063,1.016942823962909,0.7343766710125005
1.0635451505016722,0.3595387229287251,1.0229333943289975,0.7355435951436492
1.0735785953177257,0.3574213352034865,1.028839982449582,0.7366909404367755
1.0836120401337792,0.3553460133864874,1.0346632786085586,0.7378189703021927
1.0936454849498327,0.3533119217589715,1.0404039811756787,0.7389279470029694
1.1036789297658862,0.35131824120531496,1.0460627961927205,0.7400181315602201
1.1137123745819397,0.3493641688831738,1.0516404369610586,0.7410897836628259
1.1237458193979935,0.3474489179001838,1.0571376236310719,0.74214316158149
1.133779264214047,0.34557171699708494,1.0625550827937926,0.7431785220870293
1.1438127090301005,0.3437318102371397,1.067893547075215,0.7441961203728009
1.153846153846154,0.34192845670172217,1.0731537547336434,0.745196209981167
1.1638795986622075,0.34016093019195515,1.0783364492604586,0.7461790427338956
1.173913043478261,0.3384285189362742,1.0834423789846628,0.747144868666395
1.1839464882943145,0.3367305253038021,1.0884722966815472,0.7480939359656859
1.193979933110368,0.3350662655234173,1.0934269591858121,0.7490264909120047
1.2040133779264215,0.33343506940840356,1.0983071270094547,0.7499427778239427
1.214046822742475,0.3318362800865703,1.1031135639647207,0.7508430390070161
1.2240802675585285,0.3302692537357341,1.1078470367924054,0.7517275147055725
1.234113712374582,0.3287333593244559,1.1125083147957668,0.75259644305793
1.2441471571906355,0.3272279783579286,1.1170981694803053,0.7534500600546553
1.254180602006689,0.32575250462891314,1.1216173741996402,0.7542885994998791
1.2642140468227425,0.32430634397362257,1.126066703807709,0.7551122929755579
1.274247491638796,0.32288891403245673,1.1304469343174808,0.7559213698085804
1.2842809364548495,0.32149964401548914,1.134758842566385,0.7567160570406322
1.294314381270903,0.3201379744726136,1.139003205888619,0.7574965794007201
1.3043478260869565,0.3188033570682577,1.1431808017944889,0.7582631592802678
1.31438127090301,0.31749525436057124,1.1472924076569353,0.7590160167106914
1.3244147157190636,0.316213139585002,1.151338800405361,0.7597553693433701
1.334448160535117,0.31495649644217083,1.1553207562268804,0.7604814324319192
1.3444816053511706,0.3137248188899616,1.1592390502750811,0.7611944188166856
1.354515050167224,0.31251761093974073,1.1630944563863943,0.7618945389113801
1.3645484949832776,0.31133438645662626,1.1668877468041285,0.7625820006917633
1.374581939799331,0.3101746689637243,1.1706196919102416,0.7632570096863074
1.3846153846153846,0.30903799145025485,1.1742910599648835,0.7639197689687537
1.394648829431438,0.30792389618348937,1.1779026168537499,0.7645704791524884
1.4046822742474916,0.3068319345244251,1.1814551258432633,0.7652093383866644
1.414715719063545,0.3057616667471207,1.1849493473435957,0.7658365423539917
1.4247491638795986,0.3047126618616215,1.1883860386795257,0.7664522842701289
1.434782608695652,0.30368449744040305,1.1917659538691217,0.7670567548846029
1.4448160535117056,0.30267675944826156,1.1950898434102286,0.7676501424831914
1.4548494983277593,0.30168904207558495,1.1983584540747254,0.7682326328916989
1.4648829431438128,0.30072094757493606,1.2015725287105083,0.7688044094810651
1.4749163879598663,0.29977208610088224,1.204732806051157,0.7693656531737401
1.4849498327759199,0.2988420755530067,1.2078400205332203,0.7699165424512684
1.4949832775919734,0.2979305414220398,1.2108949021210513,0.7704572533630184
1.5050167224080269,0.2970371166390459,1.213898176139129,0.770987959536004
1.5150501672240804,0.2961614414276077,1.2168505631117716,0.7715088321857407
1.5250836120401339,0.2953031631589461,1.2197527786101643,0.7720200401280812
1.5351170568561874,0.2944619362099192,1.222605533106603,0.7725217497919791
1.5451505016722409,0.29363742182384156,1.2254095318358538,0.7730141252331312
1.5551839464882944,0.29282928797406976,1.228165474663526,0.7734973281484454
1.565217391304348,0.29203720923029697,1.2308740559613442,0.7739715178912906
1.5752508361204014,0.2912608666275043,1.2335359644892114,0.7744368514874805
1.585284280936455,0.2904999475375156,1.2361518832839375,0.7748934836519468
1.5953177257525084,0.2897541455431045,1.238722489554514,0.7753415668060586
1.605351170568562,0.2890231603146015,1.2412484545838118,0.7757812510955491
1.6153846153846154,0.28830669748895377,1.2437304436365653,0.7762126844090045
1.625418060200669,0.2876044685511865,1.2461691158735206,0.7766360123968821
1.6354515050167224,0.2869161907182202,1.2485651242716063,0.7770513784910158
1.645484949832776,0.2862415868249957,1.2509191155499937,0.7774589239245758
1.6555183946488294,0.2855803852128612,1.2532317301019102,0.777858787752447
1.665551839464883,0.2849323196201776,1.2555036019320638,0.7782511068719924
1.6755852842809364,0.2842971290750963,1.257735358599539,0.7786360160441713
1.68561872909699,0.2836745577904676,1.2599276211660237,0.7790136479149793
1.6956521739130435,0.2830643550608368,1.2620810041492256,0.779384133037181
1.705685618729097,0.2824662751614871,1.2641961154813337,0.7797475998923097
1.7157190635451505,0.28188007724948716,1.2662735564723837,0.7801041749129034
1.725752508361204,0.28130552526670566,1.2683139217783876,0.7804539825049521
1.7357859531772575,0.28074238784475236,1.2703177993740782,0.780797145070533
1.745819397993311,0.280190438211807,1.2722857705301371,0.7811337830306075
1.7558528428093645,0.27964945410130015,1.274218409794757,0.7814640148479581
1.7658862876254182,0.27911921766240794,1.276116284979401,0.7817879570502437
1.7759197324414717,0.2785995153723245,1.2779799571486248,0.7821057242531512
