n,eta,r_c,boundary,n_max
2.3936613844870727,0.5,,0.5,0
2.402001668056714,0.5,,0.5,0
2.4103419516263553,0.5,,0.5,0
2.4186822351959965,0.5,,0.5,0
2.427022518765638,0.5,,0.5,0
2.435362802335279,0.5,,0.5,0
2.4437030859049207,0.5,,0.5,0
2.4520433694745623,0.5,,0.5,0
2.4603836530442034,0.5,,0.5,0
2.468723936613845,0.5,,0.5,0
2.477064220183486,0.5,,0.5,0
2.4854045037531276,0.5,,0.5,0
2.4937447873227687,0.5,,0.5,0
2.5020850708924103,0.5,,0.5,0
2.5104253544620514,0.5,,0.5,0
2.518765638031693,0.5,,0.5,0
2.5271059216013345,0.5,,0.5,0
2.5354462051709756,0.5,,0.5,0
2.543786488740617,0.5,,0.5,0
2.5521267723102583,0.5,,0.5,0
2.5604670558799,0.5,,0.5,0
2.568807339449541,0.5,,0.5,0
2.5771476230191825,0.5,,0.5,0
2.585487906588824,0.5,,0.5,0
2.593828190158465,0.5,,0.5,0
2.602168473728107,0.5,,0.5,0
2.610508757297748,0.5,,0.5,0
2.6188490408673895,0.5,,0.5,0
2.6271893244370306,0.5,,0.5,0
2.635529608006672,0.5,,0.5,0
2.6438698915763137,0.5,,0.5,0
2.652210175145955,0.5,,0.5,0
2.6605504587155964,0.5,,0.5,0
2.6688907422852375,0.5,,0.5,0
2.677231025854879,0.5,,0.5,0
2.68557130942452,0.5,,0.5,0
2.6939115929941617,0.5,,0.5,0
2.7022518765638033,0.5,,0.5,0
2.7105921601334444,0.5,,0.5,0
2.718932443703086,0.5,,0.5,0
2.727272727272727,0.5,,0.5,0
2.7356130108423686,0.5,,0.5,0
2.7439532944120097,0.5,,0.5,0
2.7522935779816513,0.5,,0.5,0
2.7606338615512924,0.5,,0.5,0
2.768974145120934,0.5,,0.5,0
2.7773144286905755,0.5,,0.5,0
2.7856547122602167,0.5,,0.5,0
2.793994995829858,0.5,,0.5,0
2.8023352793994993,0.5,,0.5,0
2.810675562969141,0.5,,0.5,0
2.819015846538782,0.5,,0.5,0
2.8273561301084236,0.5,,0.5,0
2.835696413678065,0.5,,0.5,0
2.8440366972477062,0.5,,0.5,0
2.852376980817348,0.5,,0.5,0
2.860717264386989,0.5,,0.5,0
2.8690575479566305,0.5,,0.5,0
2.8773978315262716,0.5,,0.5,0
2.885738115095913,0.5,,0.5,0
2.8940783986655547,0.5,,0.5,0
2.902418682235196,0.5,,0.5,0
2.9107589658048374,0.5,,0.5,0
2.9190992493744785,0.5,,0.5,0
2.92743953294412,0.5,,0.5,0
2.935779816513761,0.5,,0.5,0
2.9441201000834027,0.5,,0.5,0
2.9524603836530443,0.5,,0.5,0
2.9608006672226854,0.5,,0.5,0
2.969140950792327,0.5,,0.5,0
2.977481234361968,0.5,,0.5,0
2.9858215179316097,0.5,,0.5,0
2.9941618015012508,0.5,,0.5,0
3.0025020850708923,0.5,,0.5,0
3.0108423686405335,0.5,,0.5,0
3.019182652210175,0.5,,0.5,0
3.0275229357798166,0.5,,0.5,0
3.0358632193494577,0.5,,0.5,0
3.0442035029190992,0.5,,0.5,0
3.0525437864887404,0.5,,0.5,0
3.060884070058382,0.5,,0.5,0
3.069224353628023,0.5,,0.5,0
3.0775646371976646,0.5,,0.5,0
3.085904920767306,0.5,,0.5,0
3.0942452043369473,0.5,,0.5,0
3.102585487906589,0.5,,0.5,0
3.11092577147623,0.5,,0.5,0
3.1192660550458715,0.5,,0.5,0
3.1276063386155126,0.5,,0.5,0
3.135946622185154,0.5,,0.5,0
3.1442869057547957,0.5,,0.5,0
3.152627189324437,0.5,,0.5,0
3.1609674728940784,0.5,,0.5,0
3.1693077564637195,0.5,,0.5,0
3.177648040033361,0.5,,0.5,0
3.185988323603002,0.5,,0.5,0
3.1943286071726438,0.5,,0.5,0
3.2026688907422853,0.5,,0.5,0
3.2110091743119265,0.5,,0.5,0
3.219349457881568,0.5,,0.5,0
3.227689741451209,0.5,,0.5,0
3.2360300250208507,0.5,,0.5,0
3.244370308590492,0.5,,0.5,0
3.2527105921601334,0.5,,0.5,0
3.2610508757297745,0.5,,0.5,0
3.269391159299416,0.5,,0.5,0
3.2777314428690576,0.5,,0.5,0
3.2860717264386987,0.5,,0.5,0
3.2944120100083403,0.5,,0.5,0
3.3027522935779814,0.5,,0.5,0
3.311092577147623,0.5,,0.5,0
3.319432860717264,0.5,,0.5,0
3.3277731442869056,0.5,,0.5,0
3.336113427856547,0.5,,0.5,0
3.3444537114261883,0.5,,0.5,0
3.35279399499583,0.5,,0.5,0
3.361134278565471,0.5,,0.5,0
3.3694745621351125,0.5,,0.5,0
3.3778148457047537,0.5,,0.5,0
3.386155129274395,0.5,,0.5,0
3.3944954128440368,0.5,,0.5,0
3.402835696413678,0.5,,0.5,0
3.4111759799833195,0.5,,0.5,0
3.4195162635529606,0.5,,0.5,0
3.427856547122602,0.5,,0.5,0
3.4361968306922432,0.5,,0.5,0
3.444537114261885,0.5,,0.5,0
3.452877397831526,0.5,,0.5,0
3.4612176814011675,0.5,,0.5,0
3.469557964970809,0.5,,0.5,0
3.47789824854045,0.5,,0.5,0
