N_th,eta,sensitivity,boundary_N_th,unit_response_N_th
0.061192384769539074,0.5,1.139451510515379,0.5,0.0
0.062179358717434866,0.5,1.1420201627207085,0.5,0.0
0.06316633266533066,0.5,1.1446004220570696,0.5,0.0
0.06415330661322645,0.5,1.1471923673774356,0.5,0.0
0.06514028056112224,0.5,1.1497960782506509,0.5,0.0
0.06612725450901803,0.5,1.152411634969573,0.5,0.0
0.06711422845691382,0.5,1.155039118559326,0.5,0.0
0.06810120240480962,0.5,1.1576786107856671,0.5,0.0
0.06908817635270541,0.5,1.1603301941634692,0.5,0.0
0.0700751503006012,0.5,1.1629939519653198,0.5,0.0
0.07106212424849699,0.5,1.1656699682302374,0.5,0.0
0.07204909819639278,0.5,1.1683583277725098,0.5,0.0
0.07303607214428857,0.5,1.171059116190655,0.5,0.0
0.07402304609218437,0.5,1.173772419876507,0.5,0.0
0.07501002004008016,0.5,1.176498326024426,0.5,0.0
0.07599699398797595,0.5,1.17923692264064,0.5,0.0
0.07698396793587174,0.5,1.1819882985527157,0.5,0.0
0.07797094188376753,0.5,1.1847525434191626,0.5,0.0
0.07895791583166333,0.5,1.1875297477391717,0.5,0.0
0.07994488977955912,0.5,1.1903200028624932,0.5,0.0
0.08093186372745491,0.5,1.19312340099945,0.5,0.0
0.0819188376753507,0.5,1.1959400352310992,0.5,0.0
0.08290581162324649,0.5,1.1987699995195311,0.5,0.0
0.08389278557114228,0.5,1.2016133887183194,0.5,0.0
0.08487975951903808,0.5,1.204470298583118,0.5,0.0
0.08586673346693387,0.5,1.2073408257824125,0.5,0.0
0.08685370741482966,0.5,1.2102250679084208,0.5,0.0
0.08784068136272545,0.5,1.2131231234881545,0.5,0.0
0.08882765531062124,0.5,1.2160350919946386,0.5,0.0
0.08981462925851703,0.5,1.2189610738582928,0.5,0.0
0.09080160320641283,0.5,1.221901170478476,0.5,0.0
0.09178857715430862,0.5,1.2248554842352017,0.5,0.0
0.09277555110220441,0.5,1.227824118501021,0.5,0.0
0.0937625250501002,0.5,1.23080717765308,0.5,0.0
0.09474949899799598,0.5,1.2338047670853527,0.5,0.0
0.09573647294589177,0.5,1.2368169932210533,0.5,0.0
0.09672344689378756,0.5,1.2398439635252316,0.5,0.0
0.09771042084168335,0.5,1.2428857865175535,0.5,0.0
0.09869739478957915,0.5,1.2459425717852686,0.5,0.0
0.09968436873747494,0.5,1.2490144299963704,0.5,0.0
0.10067134268537073,0.5,1.252101472912955,0.5,0.0
0.10165831663326652,0.5,1.2552038134047718,0.5,0.0
0.10264529058116231,0.5,1.2583215654629818,0.5,0.0
0.1036322645290581,0.5,1.261454844214119,0.5,0.0
0.1046192384769539,0.5,1.2646037659342608,0.5,0.0
0.10560621242484969,0.5,1.2677684480634137,0.5,0.0
0.10659318637274548,0.5,1.270949009220111,0.5,0.0
0.10758016032064127,0.5,1.2741455692162342,0.5,0.0
0.10856713426853706,0.5,1.2773582490720592,0.5,0.0
0.10955410821643286,0.5,1.280587171031527,0.5,0.0
0.11054108216432865,0.5,1.2838324585777503,0.5,0.0
0.11152805611222444,0.5,1.287094236448755,0.5,0.0
0.11251503006012023,0.5,1.290372630653461,0.5,0.0
0.11350200400801602,0.5,1.2936677684879123,0.5,0.0
0.11448897795591181,0.5,1.2969797785517494,0.5,0.0
0.1154759519038076,0.5,1.3003087907649409,0.5,0.0
0.1164629258517034,0.5,1.303654936384774,0.5,0.0
0.11744989979959919,0.5,1.307018348023102,0.5,0.0
0.11843687374749498,0.5,1.3103991596638656,0.5,0.0
0.11942384769539077,0.5,1.3137975066808842,0.5,0.0
0.12041082164328656,0.5,1.3172135258559248,0.5,0.0
0.12139779559118236,0.5,1.3206473553970544,0.5,0.0
0.12238476953907815,0.5,1.3240991349572786,0.5,0.0
0.12337174348697394,0.5,1.327569005653475,0.5,0.0
0.12435871743486973,0.5,1.331057110085625,0.5,0.0
0.12534569138276552,0.5,1.3345635923563473,0.5,0.0
0.12633266533066131,0.5,1.3380885980907433,0.5,0.0
0.1273196392785571,0.5,1.3416322744565585,0.5,0.0
0.1283066132264529,0.5,1.345194770184661,0.5,0.0
0.1292935871743487,0.5,1.3487762355898532,0.5,0.0
0.13028056112224448,0.5,1.3523768225920105,0.5,0.0
0.13126753507014027,0.5,1.3559966847375642,0.5,0.0
0.13225450901803606,0.5,1.359635977221329,0.5,0.0
0.13324148296593186,0.5,1.3632948569086811,0.5,0.0
0.13422845691382765,0.5,1.366973482358098,0.5,0.0
0.13521543086172344,0.5,1.3706720138440622,0.5,0.0
0.13620240480961923,0.5,1.3743906133803399,0.5,0.0
0.13718937875751502,0.5,1.3781294447436374,0.5,0.0
0.13817635270541082,0.5,1.381888673497646,0.5,0.0
0.1391633266533066,0.5,1.3856684670174804,0.5,0.0
0.1401503006012024,0.5,1.389468994514521,0.5,0.0
0.1411372745490982,0.5,1.3932904270616648,0.5,0.0
0.14212424849699398,0.5,1.3971329376189943,0.5,0.0
0.14311122244488977,0.5,1.4009967010598725,0.5,0.0
0.14409819639278557,0.5,1.4048818941974717,0.5,0.0
0.14508517034068136,0.5,1.4087886958117475,0.5,0.0
0.14607214428857715,0.5,1.4127172866768587,0.5,0.0
0.14705911823647294,0.5,1.4166678495890526,0.5,0.0
0.14804609218436873,0.5,1.4206405693950177,0.5,0.0
0.14903306613226452,0.5,1.4246356330207128,0.5,0.0
0.15002004008016032,0.5,1.4286532295006873,0.5,0.0
0.1510070140280561,0.5,1.4326935500078959,0.5,0.0
0.1519939879759519,0.5,1.4367567878840228,0.5,0.0
0.1529809619238477,0.5,1.4408431386703242,0.5,0.0
0.15396793587174348,0.5,1.4449528001389935,0.5,0.0
0.15495490981963927,0.5,1.4490859723250713,0.5,0.0
0.15594188376753507,0.5,1.4532428575589014,0.5,0.0
0.15692885771543086,0.5,1.4574236604991457,0.5,0.0
0.15791583166332665,0.5,1.4616285881663738,0.5,0.0
0.15890280561122244,0.5,1.465857849977234,0.5,0.0
0.15988977955911823,0.5,1.470111657779218,0.5,0.0
0.16087675350701403,0.5,1.4743902258860375,0.5,0.0
0.16186372745490982,0.5,1.4786937711136137,0.5,0.0
0.1628507014028056,0.5,1.4830225128167023,0.5,0.0
0.1638376753507014,0.5,1.4873766729261675,0.5,0.0
0.1648246492985972,0.5,1.491756475986906,0.5,0.0
0.16581162324649298,0.5,1.49616214919645,0.5,0.0
0.16679859719438878,0.5,1.5005939224442542,0.5,0.0
0.16778557114228457,0.5,1.5050520283516813,0.5,0.0
0.16877254509018036,0.5,1.509536702312707,0.5,0.0
0.16975951903807615,0.5,1.5140481825353482,0.5,0.0
0.17074649298597194,0.5,1.5185867100838415,0.5,0.0
0.17173346693386773,0.5,1.5231525289215835,0.5,0.0
0.17272044088176353,0.5,1.5277458859548412,0.5,0.0
0.17370741482965932,0.5,1.5323670310772635,0.5,0.0
0.1746943887775551,0.5,1.537016217215198,0.5,0.0
0.1756813627254509,0.5,1.5416937003738374,0.5,0.0
0.1766683366733467,0.5,1.5463997396842122,0.5,0.0
0.17765531062124248,0.5,1.5511345974510415,0.5,0.0
0.17864228456913828,0.5,1.5558985392014715,0.5,0.0
0.17962925851703407,0.5,1.5606918337347135,0.5,0.0
0.18061623246492986,0.5,1.5655147531725988,0.5,0.0
0.18160320641282565,0.5,1.5703675730110778,0.5,0.0
0.18259018036072144,0.5,1.575250572172678,0.5,0.0
0.18357715430861724,0.5,1.5801640330599447,0.5,0.0
0.18456412825651303,0.5,1.5851082416098854,0.5,0.0
0.18555110220440882,0.5,1.590083487349436,0.5,0.0
0.1865380761523046,0.5,1.5950900634519791,0.5,0.0
0.1875250501002004,0.5,1.6001282667949333,0.5,0.0
0.1885120240480962,0.5,1.6051983980184323,0.5,0.0
0.18949899799599196,0.5,1.61030076158513,0.5,0.0
0.19048597194388775,0.5,1.615435665841143,0.5,0.0
0.19147294589178354,0.5,1.620603423078172,0.5,0.0
0.19245991983967933,0.5,1.625804349596807,0.5,0.0
0.19344689378757512,0.5,1.6310387657710659,0.5,0.0
0.19443386773547092,0.5,1.6363069961141805,0.5,0.0
0.1954208416833667,0.5,1.641609369345659,0.5,0.0
0.1964078156312625,0.5,1.6469462184596597,0.5,0.0
0.1973947895791583,0.5,1.652317880794702,0.5,0.0
0.19838176352705408,0.5,1.6577246981047453,0.5,0.0
0.19936873747494988,0.5,1.66316701663167,0.5,0.0
0.20035571142284567,0.5,1.6686451871791872,0.5,0.0
0.20134268537074146,0.5,1.6741595651882166,0.5,0.0
0.20232965931863725,0.5,1.6797105108137673,0.5,0.0
0.20331663326653304,0.5,1.6852983890033435,0.5,0.0
0.20430360721442883,0.5,1.6909235695769302,0.5,0.0
0.20529058116232463,0.5,1.6965864273085818,0.5,0.0
0.20627755511022042,0.5,1.702287342009654,0.5,0.0
0.2072645290581162,0.5,1.7080266986137256,0.5,0.0
0.208251503006012,0.5,1.7138048872632357,0.5,0.0
0.2092384769539078,0.5,1.7196223033978906,0.5,0.0
0.21022545090180358,0.5,1.7254793478448796,0.5,0.0
0.21121242484969938,0.5,1.7313764269109329,0.5,0.0
0.21219939879759517,0.5,1.7373139524762817,0.5,0.0
0.21318637274549096,0.5,1.7432923420905535,0.5,0.0
0.21417334669338675,0.5,1.7493120190706557,0.5,0.0
0.21516032064128254,0.5,1.7553734126006963,0.5,0.0
0.21614729458917833,0.5,1.7614769578339835,0.5,0.0
0.21713426853707413,0.5,1.7676230959971657,0.5,0.0
0.21812124248496992,0.5,1.7738122744965605,0.5,0.0
0.2191082164328657,0.5,1.7800449470267183,0.5,0.0
0.2200951903807615,0.5,1.7863215736812903,0.5,0.0
0.2210821643286573,0.5,1.7926426210662454,0.5,0.0
0.22206913827655309,0.5,1.799008562415502,0.5,0.0
0.22305611222444888,0.5,1.8054198777090342,0.5,0.0
0.22404308617234467,0.5,1.811877053793504,0.5,0.0
0.22503006012024046,0.5,1.818380584505502,0.5,0.0
0.22601703406813625,0.5,1.824930970797447,0.5,0.0
0.22700400801603204,0.5,1.8315287208662139,0.5,0.0
0.22799098196392784,0.5,1.838174350284567,0.5,0.0
0.22897795591182363,0.5,1.8448683821354632,0.5,0.0
0.22996492985971942,0.5,1.8516113471492974,0.5,0.0
0.2309519038076152,0.5,1.858403783844177,0.5,0.0
0.231938877755511,0.5,1.8652462386692834,0.5,0.0
0.2329258517034068,0.5,1.8721392661514213,0.5,0.0
0.23391282565130259,0.5,1.8790834290448304,0.5,0.0
0.23489979959919838,0.5,1.8860792984843329,0.5,0.0
0.23588677354709417,0.5,1.8931274541419276,0.5,0.0
0.23687374749498996,0.5,1.9002284843869004,0.5,0.0
0.23786072144288575,0.5,1.9073829864495533,0.5,0.0
0.23884769539078154,0.5,1.9145915665886504,0.5,0.0
0.23983466933867734,0.5,1.9218548402626665,0.5,0.0
0.24082164328657313,0.5,1.9291734323049559,0.5,0.0
0.24180861723446892,0.5,1.9365479771029395,0.5,0.0
0.2427955911823647,0.5,1.9439791187814093,0.5,0.0
0.2437825651302605,0.5,1.9514675113900786,0.5,0.0
0.2447695390781563,0.5,1.9590138190954778,0.5,0.0
0.2457565130260521,0.5,1.9666187163773226,0.5,0.0
0.24674348697394788,0.5,1.9742828882294756,0.5,0.0
0.24773046092184367,0.5,1.9820070303656188,0.5,0.0
0.24871743486973946,0.5,1.9897918494297786,0.5,0.0
0.24970440881763525,0.5,1.9976380632118333,0.5,0.0
0.25069138276553105,0.5,2.0055464008681323,0.5,0.0
0.25167835671342687,0.5,2.0135176031473825,0.5,0.0
0.25266533066132263,0.5,2.0215524226219417,0.5,0.0
0.2536523046092184,0.5,2.0296516239246705,0.5,0.0
0.2546392785571142,0.5,2.0378159839915058,0.5,0.0
0.25562625250501,0.5,2.0460462923098994,0.5,0.0
0.2566132264529058,0.5,2.054343351173322,0.5,0.0
0.25760020040080156,0.5,2.062707975941963,0.5,0.0
0.2585871743486974,0.5,2.071140995309841,0.5,0.0
0.25957414829659314,0.5,2.079643251578487,0.5,0.0
0.26056112224448896,0.5,2.0882156009373958,0.5,0.0
0.2615480961923847,0.5,2.096858913751444,0.5,0.0
0.26253507014028055,0.5,2.105574074855479,0.5,0.0
0.2635220440881763,0.5,2.1143619838562735,0.5,0.0
