r,alpha,beta,gamma,nu_minus_closed,nu_minus_exact,abs_error
0.6120401337792643,1.8475323016333902,1.9584562992380954,1.4123737963256007,0.4895319649423836,0.4895319649423833,2.7755575615628914e-16
0.6220735785953178,1.8790803878598479,1.984532685389436,1.4463665967087675,0.4844792139921735,0.4844792139921732,2.7755575615628914e-16
0.6321070234113713,1.9113851676803149,2.0112345241978415,1.4809418396236054,0.4795267289320752,0.47952672893207504,1.6653345369377348e-16
0.6421404682274248,1.9444596500219793,2.0385725683221674,1.5161134482981964,0.47467257786820405,0.4746725778682037,3.3306690738754696e-16
0.6521739130434783,1.978317153766287,2.0665578266170623,1.551895586113281,0.4699148609575068,0.4699148609575069,1.1102230246251565e-16
0.6622073578595318,2.012971313112369,2.09520156856616,1.5883026623057608,0.4652517103479001,0.46525171034789975,3.3306690738754696e-16
0.6722408026755853,2.048436083067448,2.1245153288202303,1.6253493377712036,0.46068129006529146,0.46068129006529135,1.1102230246251565e-16
0.6822742474916388,2.084725745066428,2.154510911842107,1.6630505309676944,0.45620179585414683,0.4562017958541468,5.551115123125783e-17
0.6923076923076923,2.1218549127229354,2.1852003966602696,1.7014214239234011,0.45181145497751735,0.451811454977517,3.3306690738754696e-16
0.7023411371237458,2.1598385377141303,2.2165961417329916,1.7404774683502802,0.4475085259817303,0.4475085259817303,0.0
0.7123745819397993,2.1986919158016494,2.2487107899250116,1.7802343918663814,0.44329129843036164,0.4432912984303613,3.3306690738754696e-16
0.7224080267558528,2.2384306929911104,2.2815572735987324,1.8207082043292584,0.43915809261157945,0.43915809261157923,2.220446049250313e-16
0.7324414715719064,2.279070871832658,2.315148819822002,1.8619152042830371,0.4351072592224875,0.4351072592224871,3.885780586188048e-16
0.7424749163879599,2.3206288178650882,2.3494989556945676,1.903871985521731,0.43113717903369414,0.4311371790336938,3.3306690738754696e-16
0.7525083612040134,2.363121266206146,2.384621513795352,1.9465954437714599,0.4272462625369618,0.4272462625369619,1.1102230246251565e-16
0.7625418060200669,2.4065653282916495,2.420530637752746,1.9901027834942464,0.42343294957849414,0.423432949578494,1.6653345369377348e-16
0.7725752508361204,2.4509784987661547,2.457240787940153,2.0344115248161447,0.41969570898011793,0.4196957089801178,1.1102230246251565e-16
0.782608695652174,2.4963786625279365,2.4947667472990913,2.079539510582481,0.416033038150386,0.41603303815038567,3.3306690738754696e-16
0.7926421404682275,2.542784101931123,2.533123627292189,2.125504913543055,0.4124434626873955,0.4124434626873951,3.885780586188048e-16
0.802675585284281,2.5902135041478807,2.5723268739884726,2.1723262436701845,0.4089255359749277,0.4089255359749276,1.1102230246251565e-16
0.8127090301003345,2.6386859686936206,2.6123922742833994,2.2200223556125596,0.4054778387733295,0.4054778387733297,2.220446049250313e-16
0.822742474916388,2.688221015118248,2.6533359622561394,2.2686124562878835,0.4020989788064257,0.40209897880642537,3.3306690738754696e-16
0.8327759197324415,2.738838590866561,2.695174425666665,2.318116112617373,0.39878759034558714,0.39878759034558664,4.996003610813204e-16
0.842809364548495,2.7905590793109587,2.7379245125952667,2.368553259405238,0.3955423337919641,0.3955423337919643,2.220446049250313e-16
0.8528428093645485,2.8434033079596936,2.7816034382271653,2.4199442073662945,0.3923618952578006,0.39236189525780035,2.220446049250313e-16
0.862876254180602,2.8973925568439753,2.8262287917849567,2.4723096513049603,0.38924498614761804,0.38924498614761793,1.1102230246251565e-16
0.8729096989966555,2.9525485670873017,2.8718185436116803,2.52567067844892,0.3861903427399992,0.38619034273999875,4.440892098500626e-16
0.8829431438127091,3.0088935496604723,2.9183910524073604,2.580048776940816,0.38319672577059344,0.3831967257705933,1.1102230246251565e-16
0.8929765886287626,3.0664501943257982,2.965965072621932,2.6354658444913825,0.3802629200169162,0.38026292001691614,5.551115123125783e-17
0.9030100334448161,3.12524167877413,3.0145597620075453,2.691944197197518,0.37738773388544816,0.3773877338854481,5.551115123125783e-17
0.9130434782608696,3.1852916779583604,3.064194689333263,2.749506578528832,0.3745699990014625,0.3745699990014622,2.7755575615628914e-16
0.9230769230769231,3.2466243736271765,3.1148898422652795,2.808176168486291,0.37180856980199384,0.37180856980199334,4.996003610813204e-16
0.9331103678929766,3.309264464062896,3.1666656354158276,2.8679765929366616,0.36910232313227287,0.36910232313227265,2.220446049250313e-16
